,Unnamed: 0.3,date,period,demand,wind
1142,1142,2016-02-14,39,701.342242909091,85.53953778888196
1143,1143,2016-02-14,40,681.9059083636364,118.6822840987541
1144,1144,2016-02-14,41,666.1392698181819,97.60336631710445
1145,1145,2016-02-14,42,640.6399592727273,73.45385449883298
1146,1146,2016-02-14,43,619.0424203636364,80.31624971235084
1147,1147,2016-02-14,44,593.7026618181818,83.70373779545679
1148,1148,2016-02-14,45,568.3483985454545,111.39372102961966
1149,1149,2016-02-14,46,547.055458909091,115.74281863309118
1150,1150,2016-02-14,47,519.1918778181818,53.85013314047142
1151,1151,2016-02-14,48,507.8491810909091,48.53942601663435
1152,1152,2016-02-16,1,555.4682007272727,160.34838752095732
1153,1153,2016-02-16,2,560.1387229090909,156.06485420296528
1154,1154,2016-02-16,3,563.0396683636365,110.7927150793912
1155,1155,2016-02-16,4,558.0355374545454,33.66726059370788
1156,1156,2016-02-16,5,556.1209134545454,11.0694368651172
1157,1157,2016-02-16,6,555.5842385454546,11.047582103290708
1158,1158,2016-02-16,7,547.3310487272726,11.047582103290708
1159,1159,2016-02-16,8,541.3260916363637,11.047582103290708
1160,1160,2016-02-16,9,536.2494370909092,11.080364246030443
1161,1161,2016-02-16,10,536.8296261818182,11.047582103290708
1162,1162,2016-02-16,11,544.1109992727274,11.036654722377463
1163,1163,2016-02-16,12,556.5995694545454,11.080364246030443
1164,1164,2016-02-16,13,582.2584320000001,11.036654722377463
1165,1165,2016-02-16,14,615.1986676363636,11.113146388770176
1166,1166,2016-02-16,15,653.3606050909091,11.036654722377463
1167,1167,2016-02-16,16,671.0998865454546,11.003872579637726
1168,1168,2016-02-16,17,687.9108654545455,11.0694368651172
1169,1169,2016-02-16,18,694.1478981818182,11.058509484203954
1170,1170,2016-02-16,19,698.5573352727273,44.98802721982972
1171,1171,2016-02-16,20,691.0438865454546,65.25831881389921
1172,1172,2016-02-16,21,680.5279592727272,65.23646405207272
1173,1173,2016-02-16,22,672.2602647272728,65.21460929024624
1174,1174,2016-02-16,23,667.140096,65.22553667115949
1175,1175,2016-02-16,24,660.7435112727273,124.41915907820773
1176,1176,2016-02-16,25,658.5532974545455,304.7427989085769
1177,1177,2016-02-16,26,649.4443287272727,330.41121667378945
1178,1178,2016-02-16,27,646.2532887272728,329.28569643972526
1179,1179,2016-02-16,28,644.6577687272727,329.8320654853875
1180,1180,2016-02-16,29,649.3573003636365,327.8214273973504
1181,1181,2016-02-16,30,655.6958661818182,255.35103718070943
1182,1182,2016-02-16,31,669.692928,284.5708537427266
1183,1183,2016-02-16,32,677.612509090909,324.3028107432855
1184,1184,2016-02-16,33,694.0898792727274,323.87664288766894
1185,1185,2016-02-16,34,718.9509818181818,324.91474407442723
1186,1186,2016-02-16,35,749.4834327272725,322.40144646438085
1187,1187,2016-02-16,36,773.1841570909093,321.21036194483713
1188,1188,2016-02-16,37,778.4638778181818,318.7407738584438
1189,1189,2016-02-16,38,772.545949090909,318.0523488609093
1190,1190,2016-02-16,39,761.7979461818182,317.68081790985906
1191,1191,2016-02-16,40,743.5509992727272,308.22863341990205
1192,1192,2016-02-16,41,724.10016,302.5573227259279
1193,1193,2016-02-16,42,697.6870516363635,228.65544560965188
1194,1194,2016-02-16,43,666.5744116363637,87.06937111673625
1195,1195,2016-02-16,44,629.8339374545455,87.00380683125675
1196,1196,2016-02-16,45,597.7204712727273,18.521910647950296
1197,1197,2016-02-16,46,566.2887272727274,11.21149281698938
1198,1198,2016-02-16,47,540.8184261818182,27.340307044939024
1199,1199,2016-02-16,48,525.1243112727273,15.407607087675466
1200,1200,2016-02-18,1,554.1627752727272,35.20802130247543
1201,1201,2016-02-18,2,552.900864,31.711259410237023
1202,1202,2016-02-18,3,556.1644276363636,36.37725106019265
1203,1203,2016-02-18,4,547.2150109090909,43.22871889279728
1204,1204,2016-02-18,5,541.2970821818182,33.86395345014629
1205,1205,2016-02-18,6,540.7313978181819,38.58458200466814
1206,1206,2016-02-18,7,534.6974312727272,47.06422959334627
1207,1207,2016-02-18,8,528.1122850909092,81.4964068509813
1208,1208,2016-02-18,9,525.7625192727274,79.98842828495347
1209,1209,2016-02-18,10,526.0090996363635,57.39060455636281
